S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (degree),AT (degree C)
31,15-May-2021 - 06:00,15-May-2021 - 07:00,75.5,218.0,14.62,33.02,29.45,52.35,18.95,1.0,20.55,2.33,153.12,,62.1,1.07,218.28,82.17,981.0,,25.27
32,15-May-2021 - 07:00,15-May-2021 - 08:00,117.25,287.0,4.82,11.25,9.95,51.32,21.45,0.83,35.77,1.77,32.28,,56.1,1.27,228.45,139.53,981.8,,27.0
33,15-May-2021 - 08:00,15-May-2021 - 09:00,104.0,602.0,4.75,13.55,11.07,51.62,12.93,0.83,46.6,1.18,9.85,,53.2,0.57,152.23,165.72,982.08,,28.33
34,15-May-2021 - 09:00,15-May-2021 - 10:00,69.5,495.25,4.98,11.18,9.97,52.07,9.7,0.38,53.5,0.78,7.55,,52.12,0.72,80.7,162.65,982.18,,28.65
35,15-May-2021 - 10:00,15-May-2021 - 11:00,40.5,189.25,4.33,12.27,10.1,52.8,8.78,0.5,67.17,0.78,98.08,,45.23,1.07,39.12,635.83,982.48,,32.85
36,15-May-2021 - 11:00,15-May-2021 - 12:00,46.25,226.5,4.08,11.7,9.55,53.8,8.57,0.5,84.33,0.68,46.57,,40.5,0.75,47.65,620.15,982.22,,35.05
37,15-May-2021 - 12:00,15-May-2021 - 13:00,41.25,207.25,3.6,6.15,6.2,55.98,9.2,0.23,110.38,0.78,144.65,,37.88,1.1,23.85,637.45,981.83,,36.45
38,15-May-2021 - 13:00,15-May-2021 - 14:00,40.5,191.5,3.8,5.72,6.15,56.85,9.07,0.33,119.93,0.72,128.43,,36.65,1.15,189.93,533.3,981.25,,36.83
39,15-May-2021 - 14:00,15-May-2021 - 15:00,35.5,172.5,3.35,9.07,7.55,58.35,9.45,0.62,126.02,0.6,230.32,,36.65,1.57,324.68,387.9,980.3,,36.0
40,15-May-2021 - 15:00,15-May-2021 - 16:00,37.5,270.5,3.35,9.55,7.85,57.88,8.55,0.57,115.6,0.43,321.9,,38.52,2.83,316.23,372.52,980.15,,34.4
41,15-May-2021 - 16:00,15-May-2021 - 17:00,45.0,452.25,3.73,9.25,7.97,54.55,6.43,0.62,97.65,0.65,287.6,,39.38,2.55,336.77,327.25,980.27,,32.38
42,15-May-2021 - 17:00,15-May-2021 - 18:00,35.75,192.5,3.2,8.35,7.05,52.55,5.78,0.8,90.9,0.5,283.12,,39.52,1.8,98.7,162.8,979.88,,31.95
43,15-May-2021 - 18:00,15-May-2021 - 19:00,36.25,141.75,4.83,13.32,11.0,50.22,8.55,0.8,74.88,0.9,318.1,,41.88,0.85,53.8,57.65,979.8,,30.38
44,15-May-2021 - 19:00,15-May-2021 - 20:00,37.25,135.5,5.52,51.48,31.88,44.55,7.1,1.15,29.85,1.23,181.38,,48.58,0.23,177.73,28.73,979.82,,27.3
45,15-May-2021 - 20:00,15-May-2021 - 21:00,32.75,112.25,23.8,69.5,56.38,45.5,7.07,1.65,15.17,1.25,34.48,,51.68,0.5,180.52,28.7,980.5,,26.38
